name,user,rating,theme,production_year
12 Angry Men,user169,6,Sci-Fi,2021
12 Angry Men,user425,9,Sci-Fi,2015
12 Angry Men,user321,8,Sci-Fi,2021
12 Angry Men,user329,4,Sci-Fi,2015
12 Angry Men,user303,1,Sci-Fi,2021
12 Angry Men,user410,3,Sci-Fi,2021
12 Angry Men,user154,3,Sci-Fi,2015
12 Angry Men,user112,7,Sci-Fi,2015
12 Angry Men,user283,6,Sci-Fi,2015
12 Angry Men,user203,5,Sci-Fi,2021
12 Angry Men,user375,8,Sci-Fi,2021
12 Angry Men,user368,8,Sci-Fi,2021
12 Angry Men,user421,9,Sci-Fi,2021
12 Angry Men,user288,4,Sci-Fi,2015
12 Angry Men,user111,2,Sci-Fi,2021
12 Angry Men,user454,9,Sci-Fi,2015
12 Angry Men,user164,5,Sci-Fi,2021
12 Angry Men,user317,7,Sci-Fi,2021
12 Angry Men,user215,8,Sci-Fi,2021
12 Angry Men,user371,6,Sci-Fi,2021
12 Angry Men,user58,1,Sci-Fi,2015
12 Angry Men,user456,2,Sci-Fi,2015
12 Angry Men,user482,2,Sci-Fi,2021
12 Angry Men,user221,9,Sci-Fi,2015
12 Angry Men,user158,9,Sci-Fi,2015
12 Angry Men,user94,10,Sci-Fi,2015
12 Angry Men,user491,3,Sci-Fi,2021
12 Angry Men,user92,10,Sci-Fi,2015
12 Angry Men,user140,2,Sci-Fi,2021
12 Angry Men,user69,7,Sci-Fi,2015
12 Angry Men,user495,5,Sci-Fi,2015
12 Angry Men,user219,2,Sci-Fi,2021
12 Angry Men,user420,9,Sci-Fi,2021
12 Angry Men,user183,6,Sci-Fi,2021
12 Angry Men,user144,7,Sci-Fi,2015
12 Angry Men,user180,4,Sci-Fi,2021
12 Angry Men,user145,8,Sci-Fi,2015
12 Angry Men,user15,3,Sci-Fi,2021
12 Angry Men,user218,4,Sci-Fi,2021
12 Angry Men,user433,10,Sci-Fi,2021
12 Angry Men,user47,3,Sci-Fi,2021
12 Angry Men,user71,6,Sci-Fi,2021
12 Angry Men,user285,6,Sci-Fi,2021
12 Angry Men,user262,6,Sci-Fi,2021
12 Angry Men,user268,10,Sci-Fi,2021
12 Angry Men,user407,2,Sci-Fi,2021
12 Angry Men,user169,6,Sci-Fi,2015
12 Angry Men,user426,7,Sci-Fi,2015
12 Angry Men,user472,4,Sci-Fi,2021
12 Angry Men,user457,10,Sci-Fi,2021
1917,user305,3,Drama,2000
1917,user341,4,Drama,2000
1917,user48,1,Drama,2000
1917,user68,4,Drama,2000
1917,user480,3,Drama,2000
1917,user486,1,Drama,2000
1917,user311,3,Drama,2000
1917,user32,3,Drama,2000
1917,user250,8,Drama,2000
1917,user91,10,Drama,2000
1917,user323,5,Drama,2000
1917,user169,1,Drama,2000
1917,user120,6,Drama,2000
1917,user67,1,Drama,2000
1917,user306,7,Drama,2000
1917,user190,1,Drama,2000
1917,user435,9,Drama,2000
1917,user290,7,Drama,2000
1917,user143,1,Drama,2000
1917,user147,8,Drama,2000
1917,user294,3,Drama,2000
1917,user313,5,Drama,2000
1917,user312,10,Drama,2000
1917,user493,5,Drama,2000
1917,user66,1,Drama,2000
1917,user375,2,Drama,2000
1917,user35,8,Drama,2000
1917,user343,10,Drama,2000
1917,user174,4,Drama,2000
1917,user202,5,Drama,2000
1917,user180,5,Drama,2000
1917,user307,3,Drama,2000
1917,user234,6,Drama,2000
1917,user443,3,Drama,2000
1917,user346,3,Drama,2000
1917,user129,1,Drama,2000
1917,user278,2,Drama,2000
1917,user5,10,Drama,2000
1917,user402,6,Drama,2000
1917,user362,1,Drama,2000
1917,user327,4,Drama,2000
1917,user431,5,Drama,2000
1917,user468,5,Drama,2000
1917,user214,8,Drama,2000
1917,user331,1,Drama,2000
1917,user330,7,Drama,2000
1917,user296,7,Drama,2000
1917,user417,3,Drama,2000
1917,user407,1,Drama,2000
1917,user103,2,Drama,2000
A Clockwork Orange,user305,6,Comedy,2003
A Clockwork Orange,user341,10,Comedy,2003
A Clockwork Orange,user48,2,Comedy,2003
A Clockwork Orange,user68,4,Comedy,2003
A Clockwork Orange,user480,4,Comedy,2003
A Clockwork Orange,user486,8,Comedy,2003
A Clockwork Orange,user311,3,Comedy,2003
A Clockwork Orange,user32,2,Comedy,2003
A Clockwork Orange,user250,8,Comedy,2003
A Clockwork Orange,user91,10,Comedy,2003
A Clockwork Orange,user323,2,Comedy,2003
A Clockwork Orange,user169,5,Comedy,2003
A Clockwork Orange,user120,9,Comedy,2003
A Clockwork Orange,user67,6,Comedy,2003
A Clockwork Orange,user306,3,Comedy,2003
A Clockwork Orange,user190,1,Comedy,2003
A Clockwork Orange,user435,2,Comedy,2003
A Clockwork Orange,user290,1,Comedy,2003
A Clockwork Orange,user143,4,Comedy,2003
A Clockwork Orange,user147,5,Comedy,2003
A Clockwork Orange,user294,5,Comedy,2003
A Clockwork Orange,user313,1,Comedy,2003
A Clockwork Orange,user312,10,Comedy,2003
A Clockwork Orange,user493,5,Comedy,2003
A Clockwork Orange,user66,10,Comedy,2003
A Clockwork Orange,user375,9,Comedy,2003
A Clockwork Orange,user35,4,Comedy,2003
A Clockwork Orange,user343,8,Comedy,2003
A Clockwork Orange,user174,2,Comedy,2003
A Clockwork Orange,user202,4,Comedy,2003
A Clockwork Orange,user180,6,Comedy,2003
A Clockwork Orange,user307,5,Comedy,2003
A Clockwork Orange,user234,2,Comedy,2003
A Clockwork Orange,user443,5,Comedy,2003
A Clockwork Orange,user346,8,Comedy,2003
A Clockwork Orange,user129,2,Comedy,2003
A Clockwork Orange,user278,10,Comedy,2003
A Clockwork Orange,user5,3,Comedy,2003
A Clockwork Orange,user402,7,Comedy,2003
A Clockwork Orange,user362,1,Comedy,2003
A Clockwork Orange,user327,9,Comedy,2003
A Clockwork Orange,user431,4,Comedy,2003
A Clockwork Orange,user468,10,Comedy,2003
A Clockwork Orange,user214,7,Comedy,2003
A Clockwork Orange,user331,10,Comedy,2003
A Clockwork Orange,user330,4,Comedy,2003
A Clockwork Orange,user296,10,Comedy,2003
A Clockwork Orange,user417,6,Comedy,2003
A Clockwork Orange,user407,3,Comedy,2003
A Clockwork Orange,user103,6,Comedy,2003
A Separation,user305,6,Mystery,2019
A Separation,user341,8,Mystery,2019
A Separation,user48,9,Mystery,2019
A Separation,user68,4,Mystery,2019
A Separation,user480,9,Mystery,2019
A Separation,user486,9,Mystery,2019
A Separation,user311,10,Mystery,2019
A Separation,user32,10,Mystery,2019
A Separation,user250,8,Mystery,2019
A Separation,user91,4,Mystery,2019
A Separation,user323,1,Mystery,2019
A Separation,user169,10,Mystery,2019
A Separation,user120,8,Mystery,2019
A Separation,user67,5,Mystery,2019
A Separation,user306,8,Mystery,2019
A Separation,user190,8,Mystery,2019
A Separation,user435,8,Mystery,2019
A Separation,user290,3,Mystery,2019
A Separation,user143,4,Mystery,2019
A Separation,user147,4,Mystery,2019
A Separation,user294,4,Mystery,2019
A Separation,user313,10,Mystery,2019
A Separation,user312,9,Mystery,2019
A Separation,user493,10,Mystery,2019
A Separation,user66,6,Mystery,2019
A Separation,user375,10,Mystery,2019
A Separation,user35,7,Mystery,2019
A Separation,user343,2,Mystery,2019
A Separation,user174,8,Mystery,2019
A Separation,user202,4,Mystery,2019
A Separation,user180,4,Mystery,2019
A Separation,user307,7,Mystery,2019
A Separation,user234,10,Mystery,2019
A Separation,user443,6,Mystery,2019
A Separation,user346,6,Mystery,2019
A Separation,user129,9,Mystery,2019
A Separation,user278,7,Mystery,2019
A Separation,user5,3,Mystery,2019
A Separation,user402,7,Mystery,2019
A Separation,user362,10,Mystery,2019
A Separation,user327,1,Mystery,2019
A Separation,user431,10,Mystery,2019
A Separation,user468,3,Mystery,2019
A Separation,user214,3,Mystery,2019
A Separation,user331,4,Mystery,2019
A Separation,user330,3,Mystery,2019
A Separation,user296,3,Mystery,2019
A Separation,user417,5,Mystery,2019
A Separation,user407,8,Mystery,2019
A Separation,user103,6,Mystery,2019
Alien,user305,7,Romance,1999
Alien,user341,3,Romance,1999
Alien,user48,8,Romance,1999
Alien,user68,10,Romance,1999
Alien,user480,9,Romance,1999
Alien,user486,9,Romance,1999
Alien,user311,6,Romance,1999
Alien,user32,1,Romance,1999
Alien,user250,9,Romance,1999
Alien,user91,10,Romance,1999
Alien,user323,4,Romance,1999
Alien,user169,7,Romance,1999
Alien,user120,6,Romance,1999
Alien,user67,8,Romance,1999
Alien,user306,5,Romance,1999
Alien,user190,2,Romance,1999
Alien,user435,3,Romance,1999
Alien,user290,10,Romance,1999
Alien,user143,10,Romance,1999
Alien,user147,7,Romance,1999
Alien,user294,6,Romance,1999
Alien,user313,9,Romance,1999
Alien,user312,6,Romance,1999
Alien,user493,3,Romance,1999
Alien,user66,6,Romance,1999
Alien,user375,2,Romance,1999
Alien,user35,6,Romance,1999
Alien,user343,9,Romance,1999
Alien,user174,1,Romance,1999
Alien,user202,10,Romance,1999
Alien,user180,1,Romance,1999
Alien,user307,6,Romance,1999
Alien,user234,5,Romance,1999
Alien,user443,1,Romance,1999
Alien,user346,7,Romance,1999
Alien,user129,7,Romance,1999
Alien,user278,9,Romance,1999
Alien,user5,6,Romance,1999
Alien,user402,9,Romance,1999
Alien,user362,10,Romance,1999
Alien,user327,1,Romance,1999
Alien,user431,4,Romance,1999
Alien,user468,2,Romance,1999
Alien,user214,6,Romance,1999
Alien,user331,10,Romance,1999
Alien,user330,10,Romance,1999
Alien,user296,2,Romance,1999
Alien,user417,7,Romance,1999
Alien,user407,1,Romance,1999
Alien,user103,4,Romance,1999
Aliens,user305,7,Action,1993
Aliens,user341,5,Action,1993
Aliens,user48,7,Action,1993
Aliens,user68,7,Action,1993
Aliens,user480,6,Action,1993
Aliens,user486,1,Action,1993
Aliens,user311,10,Action,1993
Aliens,user32,9,Action,1993
Aliens,user250,1,Action,1993
Aliens,user91,10,Action,1993
Aliens,user323,1,Action,1993
Aliens,user169,6,Action,1993
Aliens,user120,1,Action,1993
Aliens,user67,2,Action,1993
Aliens,user306,4,Action,1993
Aliens,user190,1,Action,1993
Aliens,user435,8,Action,1993
Aliens,user290,8,Action,1993
Aliens,user143,3,Action,1993
Aliens,user147,4,Action,1993
Aliens,user294,4,Action,1993
Aliens,user313,8,Action,1993
Aliens,user312,9,Action,1993
Aliens,user493,10,Action,1993
Aliens,user66,4,Action,1993
Aliens,user375,2,Action,1993
Aliens,user35,9,Action,1993
Aliens,user343,9,Action,1993
Aliens,user174,8,Action,1993
Aliens,user202,4,Action,1993
Aliens,user180,4,Action,1993
Aliens,user307,4,Action,1993
Aliens,user234,5,Action,1993
Aliens,user443,6,Action,1993
Aliens,user346,5,Action,1993
Aliens,user129,9,Action,1993
Aliens,user278,4,Action,1993
Aliens,user5,2,Action,1993
Aliens,user402,5,Action,1993
Aliens,user362,6,Action,1993
Aliens,user327,7,Action,1993
Aliens,user431,10,Action,1993
Aliens,user468,10,Action,1993
Aliens,user214,1,Action,1993
Aliens,user331,3,Action,1993
Aliens,user330,1,Action,1993
Aliens,user296,10,Action,1993
Aliens,user417,2,Action,1993
Aliens,user407,6,Action,1993
Aliens,user103,9,Action,1993
American History X,user305,2,Comedy,1999
American History X,user341,2,Comedy,1999
American History X,user48,6,Comedy,1999
American History X,user68,5,Comedy,1999
American History X,user480,8,Comedy,1999
American History X,user486,2,Comedy,1999
American History X,user311,1,Comedy,1999
American History X,user32,6,Comedy,1999
American History X,user250,10,Comedy,1999
American History X,user91,10,Comedy,1999
American History X,user323,2,Comedy,1999
American History X,user169,4,Comedy,1999
American History X,user120,8,Comedy,1999
American History X,user67,5,Comedy,1999
American History X,user306,7,Comedy,1999
American History X,user190,7,Comedy,1999
American History X,user435,6,Comedy,1999
American History X,user290,3,Comedy,1999
American History X,user143,7,Comedy,1999
American History X,user147,4,Comedy,1999
American History X,user294,8,Comedy,1999
American History X,user313,6,Comedy,1999
American History X,user312,4,Comedy,1999
American History X,user493,5,Comedy,1999
American History X,user66,3,Comedy,1999
American History X,user375,6,Comedy,1999
American History X,user35,8,Comedy,1999
American History X,user343,5,Comedy,1999
American History X,user174,10,Comedy,1999
American History X,user202,5,Comedy,1999
American History X,user180,6,Comedy,1999
American History X,user307,7,Comedy,1999
American History X,user234,3,Comedy,1999
American History X,user443,7,Comedy,1999
American History X,user346,7,Comedy,1999
American History X,user129,2,Comedy,1999
