name,user,rating,production_year,normalized_year,genre_Action,genre_Adventure,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Fantasy,genre_Horror,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_War
12 Angry Men,user169,6,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user425,9,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user321,8,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user329,4,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user303,1,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user410,3,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user154,3,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user112,7,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user283,6,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user203,5,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user375,8,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user368,8,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user421,9,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user288,4,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user111,2,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user454,9,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user164,5,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user317,7,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user215,8,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user371,6,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user58,1,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user456,2,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user482,2,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user221,9,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user158,9,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user94,10,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user491,3,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user92,10,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user140,2,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user69,7,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user495,5,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user219,2,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user420,9,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user183,6,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user144,7,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user180,4,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user145,8,2015,0.8775510204081632,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user15,3,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user218,4,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user433,10,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user47,3,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user71,6,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user285,6,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
12 Angry Men,user262,6,2021,1.0,False,False,False,False,False,False,False,False,False,False,True,False
